gene,mean_R,mean_NR,diff_R_minus_NR,p,padj
DEDD,1.1522616,1.683546,-0.53128433,2.8988734e-06,0.0014443029778789965
RP11-1148O4.1,0.08899868,0.13537824,-0.04637956,3.2194112e-06,0.0014443029778789965
IQGAP3,0.03392027,0.13057037,-0.096650094,3.2194112e-06,0.0014443029778789965
ATP6V1F,1.8048811,2.953303,-1.148422,3.2194112e-06,0.0014443029778789965
CHP1,2.473377,3.7727807,-1.2994037,3.2194112e-06,0.0014443029778789965
ANXA5,2.310251,4.4706693,-2.1604183,3.2194112e-06,0.0014443029778789965
TBC1D10B,0.29339534,0.5658979,-0.27250254,3.5738e-06,0.0014443029778789965
GSTO1,1.3595,2.6405697,-1.2810696,3.5738e-06,0.0014443029778789965
CAPN1,1.6904713,2.472144,-0.7816726,3.5738e-06,0.0014443029778789965
FBXO7,1.9195536,2.850845,-0.93129146,3.5738e-06,0.0014443029778789965
PRDX6,2.2861416,3.3641653,-1.0780237,3.9654155e-06,0.0014443029778789965
KIF11,0.13420327,0.46448934,-0.3302861,3.9654155e-06,0.0014443029778789965
COMT,0.9908736,1.9146141,-0.9237405,3.9654155e-06,0.0014443029778789965
MAD2L1,0.29236522,0.7694461,-0.47708085,3.9654155e-06,0.0014443029778789965
PCBD1,0.42377165,0.98849446,-0.5647228,3.9654155e-06,0.0014443029778789965
MIEN1,0.9949507,1.767124,-0.77217335,4.3979758e-06,0.0014443029778789965
DLGAP5,0.07151262,0.3223916,-0.250879,4.8640163e-06,0.0014443029778789965
RP11-673C5.1,2.1212828,2.751257,-0.6299741,4.8755405e-06,0.0014443029778789965
MRPL39,0.6174464,1.0830959,-0.4656495,4.8755405e-06,0.0014443029778789965
PSMA6,2.5797431,4.213864,-1.6341207,5.402547e-06,0.0014443029778789965
PSME2,4.2235556,6.502294,-2.2787385,5.402547e-06,0.0014443029778789965
PSMA2,2.6106038,3.989171,-1.3785672,5.402547e-06,0.0014443029778789965
TK1,0.19815557,0.7214734,-0.5233178,5.9803747e-06,0.0014443029778789965
MDH2,1.963961,3.0733056,-1.1093446,5.983856e-06,0.0014443029778789965
ARPC4,4.7048593,6.146489,-1.4416299,5.983856e-06,0.0014443029778789965
ANAPC11,1.6148295,2.7186487,-1.1038191,5.983856e-06,0.0014443029778789965
DHCR24,0.100649685,0.3523757,-0.251726,5.983856e-06,0.0014443029778789965
UBE2L5P,0.5903726,0.94375527,-0.35338265,5.983856e-06,0.0014443029778789965
TXN,1.5319333,2.8377426,-1.3058093,5.983856e-06,0.0014443029778789965
UBE2C,0.14097118,0.5659025,-0.4249313,6.5866834e-06,0.0014443029778789965
IFI6,2.2031639,4.2870297,-2.083866,6.624738e-06,0.0014443029778789965
NUDT21,1.5960611,2.5087159,-0.91265476,6.624738e-06,0.0014443029778789965
CCNA2,0.22719152,0.6294628,-0.40227127,6.624738e-06,0.0014443029778789965
EMC7,1.5376358,2.4985123,-0.96087646,6.624738e-06,0.0014443029778789965
G6PD,0.6316676,1.042868,-0.4112004,6.624738e-06,0.0014443029778789965
GAPDHP60,0.23374277,0.50243825,-0.26869547,6.624738e-06,0.0014443029778789965
ATP5EP2,1.5098398,2.1849039,-0.6750641,6.624738e-06,0.0014443029778789965
DBI,2.0365188,3.3375416,-1.3010228,6.624738e-06,0.0014443029778789965
KIF15,0.05765609,0.2602654,-0.20260932,7.3268056e-06,0.0014443029778789965
COX5B,2.73812,3.980769,-1.2426488,7.3309843e-06,0.0014443029778789965
NDUFA13,3.2074127,4.5110455,-1.3036327,7.3309843e-06,0.0014443029778789965
PSMC1P1,0.68584496,1.137088,-0.45124298,7.3309843e-06,0.0014443029778789965
UBE2L3,1.8823603,3.0308154,-1.148455,7.3309843e-06,0.0014443029778789965
SCD,0.23371914,0.64826596,-0.41454682,7.3309843e-06,0.0014443029778789965
SNRPC,1.3101054,2.1997912,-0.88968575,7.3309843e-06,0.0014443029778789965
RHOC,1.2567799,2.32305,-1.0662701,7.3309843e-06,0.0014443029778789965
NDUFA9,1.1980013,2.0666525,-0.8686513,7.3309843e-06,0.0014443029778789965
SNRPF,1.1618032,1.8713874,-0.7095841,7.3309843e-06,0.0014443029778789965
CTNNBL1,1.3294532,1.9739736,-0.6445204,7.3309843e-06,0.0014443029778789965
PGAM1,3.2101583,5.1969514,-1.986793,7.3309843e-06,0.0014443029778789965
SQRDL,1.337252,2.509623,-1.172371,8.108899e-06,0.001485295030223907
KIF2C,0.13050282,0.40541515,-0.27491233,8.108899e-06,0.001485295030223907
DPP3,0.5923542,1.1714745,-0.5791203,8.108899e-06,0.001485295030223907
GAPDHP1,0.90114427,1.599014,-0.6978698,8.108899e-06,0.001485295030223907
ARF5,2.4955506,3.6553464,-1.1597958,8.965359e-06,0.001485295030223907
CDCA8,0.096541815,0.3703476,-0.27380577,8.965359e-06,0.001485295030223907
SERPINB6,0.42725602,0.90174156,-0.47448555,8.965359e-06,0.001485295030223907
ACAA2,0.8950373,1.6786481,-0.7836108,8.965359e-06,0.001485295030223907
GNG5,2.4341214,4.076905,-1.6427834,8.965359e-06,0.001485295030223907
NDUFA6,1.9908783,3.0807335,-1.0898552,8.965359e-06,0.001485295030223907
GAPDH,9.067875,10.855994,-1.7881193,8.965359e-06,0.001485295030223907
PSMC1,1.520424,2.5136237,-0.9931997,8.965359e-06,0.001485295030223907
PSMB8,4.0254674,5.809927,-1.7844596,8.965359e-06,0.001485295030223907
PSMB6,2.4849112,3.792616,-1.3077047,8.965359e-06,0.001485295030223907
USMG5,1.6635429,2.7571826,-1.0936397,9.907876e-06,0.0015366694249659054
PKMYT1,0.15815935,0.572161,-0.41400167,9.907876e-06,0.0015366694249659054
UQCRFS1,2.0088077,3.0136025,-1.0047948,9.907876e-06,0.0015366694249659054
BRK1,2.817667,4.272858,-1.4551911,9.907876e-06,0.0015366694249659054
RP11-490H24.5,0.5301833,0.9921723,-0.461989,9.907876e-06,0.0015366694249659054
RP11-815N9.2,0.12134088,0.3505716,-0.22923073,9.907876e-06,0.0015366694249659054
YWHAB,4.9537416,6.2593455,-1.305604,1.0944572e-05,0.0015491350763802332
ATP5I,1.7783495,2.9271188,-1.1487693,1.0944572e-05,0.0015491350763802332
AP2S1,1.4086972,2.647845,-1.2391478,1.0944572e-05,0.0015491350763802332
RBX1,1.829204,2.8098114,-0.9806074,1.0944572e-05,0.0015491350763802332
PSMA6P1,0.38288635,0.64729196,-0.2644056,1.0944572e-05,0.0015491350763802332
CAP1,4.222656,5.7326784,-1.5100226,1.0944572e-05,0.0015491350763802332
WDR76,0.37677372,0.714335,-0.3375613,1.0944572e-05,0.0015491350763802332
OLA1P1,0.39022893,0.670142,-0.27991307,1.0944572e-05,0.0015491350763802332
RWDD1,1.5329182,2.112332,-0.5794139,1.0944572e-05,0.0015491350763802332
NDUFB4,1.870323,2.8206103,-0.95028734,1.208435e-05,0.0016465208799392337
POU6F1,0.2507895,0.11901222,0.13177727,1.208435e-05,0.0016465208799392337
CSTB,1.6121051,2.6556802,-1.043575,1.208435e-05,0.0016465208799392337
EIF3K,4.1679726,5.270375,-1.1024022,1.208435e-05,0.0016465208799392337
CDCA2,0.07555625,0.27778193,-0.20222569,1.332968e-05,0.001661866028021345
GTSE1,0.077391796,0.2784912,-0.2010994,1.332968e-05,0.001661866028021345
DEPDC1B,0.09657389,0.2880027,-0.19142881,1.3336877e-05,0.001661866028021345
CLIC1,5.3469977,7.3663216,-2.0193238,1.3336877e-05,0.001661866028021345
SERPINB1,1.7502235,3.1333735,-1.38315,1.3336877e-05,0.001661866028021345
LAP3,1.675759,2.986417,-1.3106581,1.3336877e-05,0.001661866028021345
MLF1IP,0.18090393,0.5875736,-0.40666968,1.3336877e-05,0.001661866028021345
UBE2T,0.29031202,0.72121537,-0.43090335,1.3336877e-05,0.001661866028021345
VAMP8,2.3069625,3.6092248,-1.3022623,1.3336877e-05,0.001661866028021345
NDUFA12,1.2849633,2.2063618,-0.9213985,1.3336877e-05,0.001661866028021345
CDC45,0.08665027,0.32172397,-0.2350737,1.4704829e-05,0.0016757499441411026
SLC43A3,0.5484199,1.3439281,-0.7955082,1.4712668e-05,0.0016757499441411026
TWF2,1.8167448,3.0425704,-1.2258255,1.4712668e-05,0.0016757499441411026
NDUFA9P1,0.097888075,0.15890418,-0.061016105,1.4712668e-05,0.0016757499441411026
RNASEK-C17orf49,1.8127178,2.506671,-0.69395316,1.4712668e-05,0.0016757499441411026
CLSPN,0.11196554,0.32475632,-0.21279079,1.4712668e-05,0.0016757499441411026
PTRHD1,0.62114716,1.1458474,-0.5247003,1.4712668e-05,0.0016757499441411026
BSG,2.590337,3.6316018,-1.0412648,1.4712668e-05,0.0016757499441411026
PSMB3,2.6313057,4.242324,-1.6110182,1.4712668e-05,0.0016757499441411026
NAGA,0.6604037,1.4583818,-0.79797804,1.4712668e-05,0.0016757499441411026
GSTP1,2.7514284,4.239726,-1.4882977,1.4712668e-05,0.0016757499441411026
HIGD1A,1.1527697,2.0714679,-0.9186982,1.6223188e-05,0.0016894132849951608
NOC4L,0.4429879,0.7805383,-0.33755043,1.6223188e-05,0.0016894132849951608
PRELID1,2.8283026,4.124539,-1.2962363,1.6223188e-05,0.0016894132849951608
PYCARD,1.3335369,2.5761788,-1.2426419,1.6223188e-05,0.0016894132849951608
DUSP23,0.6683271,1.3486646,-0.68033755,1.6223188e-05,0.0016894132849951608
CSRP1,1.0095644,1.7521145,-0.74255013,1.6223188e-05,0.0016894132849951608
IFI27L2,0.9912575,1.8270806,-0.8358231,1.6223188e-05,0.0016894132849951608
RANBP1,1.3038094,2.1827438,-0.8789344,1.6223188e-05,0.0016894132849951608
TPI1P1,0.8707522,1.5075583,-0.63680613,1.6223188e-05,0.0016894132849951608
BUB3,3.033598,4.1408305,-1.1072326,1.6223188e-05,0.0016894132849951608
EME1,0.035935532,0.13394064,-0.0980051,1.6223188e-05,0.0016894132849951608
UQCRFS1P1,0.96550894,1.41597,-0.45046103,1.6223188e-05,0.0016894132849951608
HIST1H3G,0.04532585,0.2522324,-0.20690656,1.7107159e-05,0.001689811666543851
HJURP,0.07352693,0.2943877,-0.22086078,1.778727e-05,0.001689811666543851
RP11-867G23.4,1.0273011,1.5683192,-0.5410181,1.7880786e-05,0.001689811666543851
CDKN2A,0.37766078,0.81721395,-0.43955317,1.7880786e-05,0.001689811666543851
WDR13,0.5540986,0.93111736,-0.37701875,1.7880786e-05,0.001689811666543851
CPPED1,0.26089078,0.7175499,-0.45665914,1.7880786e-05,0.001689811666543851
TUBBP1,0.21909586,0.40430182,-0.18520597,1.7880786e-05,0.001689811666543851
CDK1,0.21231073,0.7117584,-0.49944764,1.7880786e-05,0.001689811666543851
SSR2,4.185217,5.1857667,-1.0005498,1.7880786e-05,0.001689811666543851
ATP5G3,2.6466694,4.126765,-1.4800954,1.7880786e-05,0.001689811666543851
ADPRH,0.17454933,0.41581598,-0.24126665,1.7880786e-05,0.001689811666543851
NUTF2,1.4609193,2.3402858,-0.8793665,1.7880786e-05,0.001689811666543851
RNF7,1.9298567,2.8141513,-0.8842946,1.7880786e-05,0.001689811666543851
ATP5C1,2.6793373,4.0039024,-1.3245652,1.7880786e-05,0.001689811666543851
BIRC5,0.13807884,0.52082336,-0.38274452,1.9688745e-05,0.001689811666543851
BCAP31,2.5787249,3.6288269,-1.050102,1.9698973e-05,0.001689811666543851
RNF4,2.5698025,3.3454506,-0.7756481,1.9698973e-05,0.001689811666543851
PIF1,0.11197609,0.33097228,-0.2189962,1.9698973e-05,0.001689811666543851
ACOT7,0.32737783,0.78630596,-0.45892814,1.9698973e-05,0.001689811666543851
PPP1CA,3.6024342,5.1900997,-1.5876656,1.9698973e-05,0.001689811666543851
PLEK,1.0097002,2.1268592,-1.117159,1.9698973e-05,0.001689811666543851
FBXO6,0.48102787,1.0978038,-0.616776,1.9698973e-05,0.001689811666543851
C4orf48,0.8642149,1.6415961,-0.7773812,1.9698973e-05,0.001689811666543851
TSPO,2.8216617,4.2302485,-1.4085867,1.9698973e-05,0.001689811666543851
JOSD2,0.6285642,1.1422588,-0.5136946,1.9698973e-05,0.001689811666543851
SUMO2,4.6173644,6.015657,-1.3982925,1.9698973e-05,0.001689811666543851
DTL,0.14184448,0.37897387,-0.23712939,1.9698973e-05,0.001689811666543851
RNASEK,4.462485,5.8872747,-1.4247899,1.9698973e-05,0.001689811666543851
RAB11A,1.3804355,2.2410607,-0.86062527,1.9698973e-05,0.001689811666543851
MRAS,0.014165225,0.1263389,-0.11217368,2.0594802e-05,0.001689811666543851
TNS1,0.03810362,0.38881746,-0.35071385,2.1647806e-05,0.001689811666543851
CENPE,0.16705509,0.42147797,-0.2544229,2.1692385e-05,0.001689811666543851
BCKDHA,0.91696215,1.4495875,-0.5326253,2.1692385e-05,0.001689811666543851
RP11-887P2.3,0.9427045,1.472138,-0.52943355,2.1692385e-05,0.001689811666543851
CASP4,2.700797,3.9214926,-1.2206955,2.1692385e-05,0.001689811666543851
ANP32A,1.3470365,1.9449445,-0.597908,2.1692385e-05,0.001689811666543851
STX18,0.67544264,1.0902027,-0.41476005,2.1692385e-05,0.001689811666543851
CHCHD5,0.5544258,0.998952,-0.4445262,2.1692385e-05,0.001689811666543851
ARPC5,3.1517787,4.668701,-1.5169225,2.1692385e-05,0.001689811666543851
CCNF,0.19952638,0.43887722,-0.23935084,2.1692385e-05,0.001689811666543851
FRG1,1.5551035,2.0941563,-0.5390527,2.1692385e-05,0.001689811666543851
AIP,2.1853206,3.166859,-0.9815383,2.1692385e-05,0.001689811666543851
MRPL28,0.9469808,1.6973563,-0.75037557,2.1692385e-05,0.001689811666543851
NUF2,0.13309424,0.4042359,-0.27114165,2.1692385e-05,0.001689811666543851
ZWINT,0.17863975,0.62060416,-0.4419644,2.1692385e-05,0.001689811666543851
VDAC1,1.9131851,3.1515253,-1.2383401,2.1692385e-05,0.001689811666543851
KIF20A,0.047817912,0.18881291,-0.140995,2.3755592e-05,0.001689811666543851
TOP2A,0.21173891,0.63132346,-0.41958454,2.3876892e-05,0.001689811666543851
PSMD14,1.0706723,1.8705424,-0.79987013,2.3876892e-05,0.001689811666543851
LUZP6,0.14598264,0.32060757,-0.17462493,2.3876892e-05,0.001689811666543851
RRM2,0.19973968,0.7081138,-0.5083741,2.3876892e-05,0.001689811666543851
COA6,0.51313543,1.0022646,-0.4891292,2.3876892e-05,0.001689811666543851
FEN1,0.34557664,0.735106,-0.38952935,2.3876892e-05,0.001689811666543851
RP1-56K13.3,1.044635,1.6687332,-0.6240982,2.3876892e-05,0.001689811666543851
CDKN3,0.19508529,0.5873001,-0.39221483,2.3876892e-05,0.001689811666543851
GDE1,0.6930514,1.1296287,-0.43657726,2.3876892e-05,0.001689811666543851
GPI,3.5692463,5.015441,-1.4461946,2.3876892e-05,0.001689811666543851
CDCA3,0.10827099,0.3637078,-0.25543684,2.3876892e-05,0.001689811666543851
RPN1,3.0976286,4.188983,-1.0913544,2.3876892e-05,0.001689811666543851
TSTA3,1.1855338,1.8331367,-0.6476029,2.3876892e-05,0.001689811666543851
GTDC1,0.8075291,1.2450144,-0.43748534,2.3876892e-05,0.001689811666543851
CLTA,1.6006403,2.8258452,-1.225205,2.3876892e-05,0.001689811666543851
ISG15,2.6797018,4.591367,-1.911665,2.3876892e-05,0.001689811666543851
GINS2,0.13056342,0.3510543,-0.22049089,2.3876892e-05,0.001689811666543851
VAMP5,1.1821862,2.2441933,-1.0620071,2.3876892e-05,0.001689811666543851
GAPDHP65,0.67221034,1.2058003,-0.53358996,2.3876892e-05,0.001689811666543851
NDC80,0.31827718,0.72778505,-0.40950787,2.6269756e-05,0.0017487980380190401
UBE2L6,2.9975538,4.831384,-1.8338304,2.6269756e-05,0.0017487980380190401
PHPT1,1.2009815,2.0267496,-0.8257681,2.6269756e-05,0.0017487980380190401
CHEK1,0.20512815,0.46610337,-0.26097524,2.6269756e-05,0.0017487980380190401
COPZ1,1.9044425,3.053586,-1.1491435,2.6269756e-05,0.0017487980380190401
LGALS1,1.5800873,3.4626682,-1.8825809,2.6269756e-05,0.0017487980380190401
PPIB,4.7705483,6.1877694,-1.4172211,2.6269756e-05,0.0017487980380190401
GTF2A2,1.3274322,2.0848606,-0.7574284,2.6269756e-05,0.0017487980380190401
PSMD8,2.6656694,3.9405715,-1.2749021,2.6269756e-05,0.0017487980380190401
SPC24,0.12454657,0.4662951,-0.34174854,2.6269756e-05,0.0017487980380190401
AC004797.1,1.1842276,1.8952733,-0.71104574,2.6269756e-05,0.0017487980380190401
SIVA1,1.6879178,2.4164531,-0.7285353,2.6269756e-05,0.0017487980380190401
NDUFA2,1.2543534,1.9619204,-0.707567,2.6269756e-05,0.0017487980380190401
CENPN,0.36478972,0.66522664,-0.3004369,2.8889515e-05,0.0017999155711511108
RAB5C,2.3442104,3.2109876,-0.8667772,2.8889515e-05,0.0017999155711511108
FLII,2.5901103,3.6215017,-1.0313914,2.8889515e-05,0.0017999155711511108
PTPMT1,0.8283221,1.3301429,-0.50182074,2.8889515e-05,0.0017999155711511108
MFSD10,1.7408013,2.42619,-0.68538857,2.8889515e-05,0.0017999155711511108
C1orf174,0.9969077,1.4962329,-0.49932516,2.8889515e-05,0.0017999155711511108
SPC25,0.07832307,0.29232946,-0.2140064,2.8889515e-05,0.0017999155711511108
RAB1B,2.3014355,3.403088,-1.1016526,2.8889515e-05,0.0017999155711511108
GLB1,0.92106164,1.514999,-0.5939374,2.8889515e-05,0.0017999155711511108
HIST1H3I,0.08063604,0.27294037,-0.19230433,2.8889515e-05,0.0017999155711511108
TPI1,4.8121433,6.6400185,-1.8278751,2.8889515e-05,0.0017999155711511108
OLA1,0.8907622,1.5227801,-0.63201785,2.8889515e-05,0.0017999155711511108
NUDT1,0.4977744,1.0365067,-0.5387323,2.8889515e-05,0.0017999155711511108
MRP63,0.9533535,1.4485501,-0.49519658,2.8889515e-05,0.0017999155711511108
CBX3,2.7507792,3.8283715,-1.0775924,2.8889515e-05,0.0017999155711511108
UFC1,1.9520856,2.7706478,-0.81856215,3.1756415e-05,0.001837209445497253
MPC2,1.2286162,1.9029249,-0.67430866,3.1756415e-05,0.001837209445497253
RP11-500M8.7,0.607392,1.1110649,-0.5036729,3.1756415e-05,0.001837209445497253
MVP,2.4026856,3.5760546,-1.1733689,3.1756415e-05,0.001837209445497253
ARPC3,5.468486,6.936103,-1.467617,3.1756415e-05,0.001837209445497253
PAIP2B,0.14478375,0.06620082,0.07858293,3.1756415e-05,0.001837209445497253
RP5-940J5.9,7.976961,9.65483,-1.6778688,3.1756415e-05,0.001837209445497253
STXBP2,1.849618,2.728171,-0.87855315,3.1756415e-05,0.001837209445497253
MRPL27,0.6059522,1.1530677,-0.5471155,3.1756415e-05,0.001837209445497253
COX5A,2.3489184,3.9361258,-1.5872073,3.1756415e-05,0.001837209445497253
SNRPD3,1.5834428,2.4958642,-0.91242135,3.1756415e-05,0.001837209445497253
MT2A,1.9967544,4.0534735,-2.056719,3.1756415e-05,0.001837209445497253
TMEM120A,0.6893449,1.1968719,-0.507527,3.1756415e-05,0.001837209445497253
ADPRHL2,0.54075986,0.97340673,-0.43264687,3.1756415e-05,0.001837209445497253
SEC11A,1.8806294,3.0179868,-1.1373574,3.1756415e-05,0.001837209445497253
UFD1L,1.5754422,2.2272208,-0.6517786,3.1756415e-05,0.001837209445497253
SCAMP2,2.146674,3.172748,-1.0260742,3.1756415e-05,0.001837209445497253
TMED2,2.6531405,3.6219957,-0.96885514,3.1756415e-05,0.001837209445497253
ANKRD22,0.04582788,0.33282351,-0.28699565,3.4552002e-05,0.001849799927268495
CKAP2L,0.09441942,0.33408526,-0.23966584,3.482407e-05,0.001849799927268495
ASF1B,0.17855793,0.585857,-0.40729904,3.4875273e-05,0.001849799927268495
SKA2,1.02366,1.8453169,-0.82165694,3.489231e-05,0.001849799927268495
LMAN2,2.7570834,3.9258792,-1.1687958,3.489231e-05,0.001849799927268495
FTSJ3,0.6621232,0.9963801,-0.3342569,3.489231e-05,0.001849799927268495
ZMAT5,0.42796877,0.82273453,-0.39476576,3.489231e-05,0.001849799927268495
TMEM106C,0.6947126,1.2184788,-0.5237662,3.489231e-05,0.001849799927268495
PDIA3,4.2548547,5.3150873,-1.0602326,3.489231e-05,0.001849799927268495
KIAA0101,0.28004566,0.82889116,-0.5488455,3.489231e-05,0.001849799927268495
E2F7,0.06968642,0.17768186,-0.10799544,3.489231e-05,0.001849799927268495
CCRL2,0.23490702,0.5825201,-0.3476131,3.489231e-05,0.001849799927268495
UQCR10,1.9382716,2.8554235,-0.9171518,3.489231e-05,0.001849799927268495
GAPDHP72,0.19940026,0.39703834,-0.19763808,3.489231e-05,0.001849799927268495
OTUB1,2.6530097,3.5407355,-0.88772583,3.489231e-05,0.001849799927268495
MYL12B,4.907715,6.5016956,-1.5939808,3.489231e-05,0.001849799927268495
GAPDHP63,0.26056966,0.51700765,-0.256438,3.489231e-05,0.001849799927268495
DRAP1,1.9079148,2.8883483,-0.9804336,3.489231e-05,0.001849799927268495
TMEM189,0.56027365,0.9770052,-0.41673154,3.489231e-05,0.001849799927268495
MKI67,0.19525734,0.58023864,-0.3849813,3.489231e-05,0.001849799927268495
NABP2,0.5296523,1.0015831,-0.4719308,3.489231e-05,0.001849799927268495
SYF2,1.9512589,2.5872355,-0.63597655,3.489231e-05,0.001849799927268495
CDK5,0.20396426,0.5012509,-0.29728666,3.489231e-05,0.001849799927268495
CDCA5,0.11619657,0.41632745,-0.30013087,3.8246646e-05,0.001862265389912257
PDIA6,2.083037,3.3686724,-1.2856355,3.8320846e-05,0.001862265389912257
ZNHIT1,1.5306854,2.257213,-0.7265277,3.8320846e-05,0.001862265389912257
FADS1,0.16686065,0.50256777,-0.33570713,3.8320846e-05,0.001862265389912257
KIF23,0.1335063,0.40224576,-0.26873946,3.8320846e-05,0.001862265389912257
TCEB2,2.8778648,4.113523,-1.2356582,3.8320846e-05,0.001862265389912257
ZDHHC12,0.8096766,1.5647444,-0.75506777,3.8320846e-05,0.001862265389912257
PSMF1,2.5075665,3.4922473,-0.9846809,3.8320846e-05,0.001862265389912257
GYG1,0.9029288,1.6345822,-0.73165333,3.8320846e-05,0.001862265389912257
SHFM1,1.8593633,3.05712,-1.1977568,3.8320846e-05,0.001862265389912257
COX6A1,3.1024075,4.242088,-1.1396804,3.8320846e-05,0.001862265389912257
PSMG2,1.4835509,2.2811646,-0.79761374,3.8320846e-05,0.001862265389912257
STK16,0.16123615,0.32393914,-0.162703,3.8320846e-05,0.001862265389912257
BLOC1S1,1.6266881,2.6111732,-0.98448503,3.8320846e-05,0.001862265389912257
ALDOA,6.75508,8.21278,-1.4576998,3.8320846e-05,0.001862265389912257
PSMA7,4.9501967,6.383671,-1.4334741,3.8320846e-05,0.001862265389912257
TIMM13,0.79403794,1.5303699,-0.73633194,3.8320846e-05,0.001862265389912257
FAM96B,2.183462,3.1407325,-0.9572706,3.8320846e-05,0.001862265389912257
KIFC1,0.13290949,0.4014534,-0.2685439,3.8320846e-05,0.001862265389912257
TIPRL,0.79894227,1.3031552,-0.5042129,3.8320846e-05,0.001862265389912257
DECR1,1.5340784,2.39882,-0.86474156,3.8320846e-05,0.001862265389912257
COX8A,2.9114087,4.4558673,-1.5444586,3.8320846e-05,0.001862265389912257
PCNA,0.95441616,1.6214834,-0.6670673,3.8320846e-05,0.001862265389912257
DCTN3,1.440042,2.2901623,-0.8501203,3.8320846e-05,0.001862265389912257
NDUFA4,2.4984212,3.4358687,-0.93744755,3.8320846e-05,0.001862265389912257
SERF2,6.793706,7.8793206,-1.0856147,4.206768e-05,0.0019347151918670939
TIMM50,0.7651933,1.309352,-0.54415876,4.206768e-05,0.0019347151918670939
ECH1,2.875485,3.9193099,-1.0438249,4.206768e-05,0.0019347151918670939
TPX2,0.17635302,0.5508594,-0.37450635,4.206768e-05,0.0019347151918670939
ARPC2,7.3354874,8.570917,-1.2354298,4.206768e-05,0.0019347151918670939
CYB5R3,1.4873974,2.145856,-0.6584585,4.206768e-05,0.0019347151918670939
PSMB2,1.4081997,2.395514,-0.98731434,4.206768e-05,0.0019347151918670939
PNKD,0.9559893,1.5381273,-0.582138,4.206768e-05,0.0019347151918670939
SLX1A,1.8787997,2.7687926,-0.88999295,4.206768e-05,0.0019347151918670939
ZCCHC17,0.8686568,1.3791623,-0.5105055,4.206768e-05,0.0019347151918670939
PSMA5,2.5682526,3.9110537,-1.3428011,4.206768e-05,0.0019347151918670939
COPE,3.4806345,4.7659564,-1.285322,4.206768e-05,0.0019347151918670939
AP2M1,2.312223,3.2645068,-0.95228386,4.206768e-05,0.0019347151918670939
MYO1G,1.7252903,2.6659827,-0.9406924,4.206768e-05,0.0019347151918670939
ATP5SL,0.58642375,0.9494299,-0.36300617,4.206768e-05,0.0019347151918670939
SCP2,1.9928088,3.0119457,-1.0191369,4.206768e-05,0.0019347151918670939
SMC2,0.3724622,0.75161314,-0.37915093,4.206768e-05,0.0019347151918670939
RAB8A,2.0558717,2.9822779,-0.92640615,4.6160276e-05,0.0019969455819219095
NAPA,2.5707874,3.521881,-0.9510937,4.6160276e-05,0.0019969455819219095
BUB1B,0.14091496,0.44380116,-0.3028862,4.6160276e-05,0.0019969455819219095
IDH2,1.9636049,3.29608,-1.3324752,4.6160276e-05,0.0019969455819219095
TPM3,6.195252,7.5143533,-1.3191013,4.6160276e-05,0.0019969455819219095
MRPL15,0.3946264,0.9036623,-0.50903594,4.6160276e-05,0.0019969455819219095
TMEM70,0.7577041,1.3634888,-0.6057847,4.6160276e-05,0.0019969455819219095
PPIA,8.701805,9.594718,-0.89291286,4.6160276e-05,0.0019969455819219095
